road_name,risk_score
Center Drive,0.0039204155640497895
West 11th Street,0.0039204155640497895
Thornburn Street,0.00359371426704564
Fountain Avenue,0.00359371426704564
I 105 West,0.00359371426704564
West 52nd Street,0.00359371426704564
Don Tomaso Drive,0.00359371426704564
East 81st Street,0.003348688294292528
East Washington Boulevard,0.003267012970041491
Georgia Street,0.003267012970041491
West 1st Street,0.003267012970041491
Culver Boulevard,0.003267012970041491
Elmgrove Street,0.003267012970041491
Toberman Street,0.003267012970041491
Bagley Avenue,0.003267012970041491
West 17th Street,0.003267012970041491
Marietta Street,0.003267012970041491
Denver Avenue,0.003267012970041491
Overhill Drive,0.0029403116730373417
North Alameda Street,0.0029403116730373417
Barham Boulevard,0.0029403116730373417
West 62nd Place,0.0029403116730373417
West 106th Street,0.0029403116730373417
Griffith Avenue,0.0029403116730373417
Hindry Avenue,0.0029403116730373417
West Boulevard,0.0029403116730373417
Ramirez Street,0.0029403116730373417
West 18th Street,0.0029403116730373417
Robertson Boulevard,0.0029403116730373417
East 83rd Street,0.0029403116730373417
North Spring Street,0.0029403116730373417
Odin Street,0.0029403116730373417
Center Street,0.0029403116730373417
East 15th Street,0.0029403116730373417
Avenue 19,0.002776961024535267
Pepper Avenue,0.002776961024535267
South Mission Road,0.0026136103760331926
Arizona Avenue,0.0026136103760331926
Hillcrest Drive,0.0026136103760331926
West 5th Street,0.0026136103760331926
Budlong Avenue,0.0026136103760331926
Bellevue Avenue,0.0026136103760331926
Fir Street,0.0026136103760331926
South Beaudry Avenue,0.0026136103760331926
North Fremont Avenue,0.0026136103760331926
East Valley Boulevard,0.0026136103760331926
Valley Boulevard,0.0026136103760331926
Commercial Street,0.0026136103760331926
West 20th Street,0.0026136103760331926
East Pico Boulevard,0.0026136103760331926
San Julian Street,0.0026136103760331926
North Crescent Heights Boulevard,0.0026136103760331926
Motor Avenue,0.0026136103760331926
San Fernando Road,0.0026136103760331926
South Ardmore Avenue,0.0026136103760331926
West 6th Street,0.0026136103760331926
Ricardo Street,0.0026136103760331926
Lemon Street,0.002286909079029044
West Goldenwood Drive,0.002286909079029044
West 29th Street,0.002286909079029044
Clinton Street,0.002286909079029044
San Fernando Road West,0.002286909079029044
South Alvarado Street,0.002286909079029044
North Hill Street,0.002286909079029044
Hobart Boulevard,0.002286909079029044
I 110 South,0.002286909079029044
East Gage Avenue,0.002286909079029044
Brooklyn Place,0.002286909079029044
Menlo Avenue,0.002286909079029044
Franklin Avenue,0.002286909079029044
Cahuenga Boulevard East,0.002286909079029044
West 104th Street,0.002286909079029044
Maubert Avenue,0.0019602077820248948
East 16th Street,0.0019602077820248948
Sacramento Street,0.0019602077820248948
West 56th Street,0.0019602077820248948
West 115th Street,0.0019602077820248948
Atlantic Street,0.0019602077820248948
West 48th Street,0.0019602077820248948
Rosewood Avenue,0.0019602077820248948
North Bronson Avenue,0.0019602077820248948
York Boulevard,0.0019602077820248948
East Vernon Avenue,0.0019602077820248948
South Avalon Boulevard,0.0019602077820248948
Highland Avenue,0.0019602077820248948
Centinela Avenue,0.0019602077820248948
West 90th Street,0.0019602077820248948
West 92nd Street,0.0019602077820248948
Levering Avenue,0.0019602077820248948
Matteson Avenue,0.0019602077820248948
Rochester Avenue,0.0019602077820248948
West 108th Street,0.0019602077820248948
East 14th Street,0.0019602077820248948
Dawes Avenue,0.0019602077820248948
South Robertson Boulevard,0.0019602077820248948
West Colden Avenue,0.0019602077820248948
Tabor Street,0.0019602077820248948
Indiana Street,0.0019602077820248948
Avion Drive,0.0019602077820248948
West View Street,0.0016335064850207454
Lexington Avenue,0.0016335064850207454
South Clarence Street,0.0016335064850207454
Beloit Avenue,0.0016335064850207454
Aviation Boulevard,0.0016335064850207454
West 73rd Street,0.0016335064850207454
North Wilton Place,0.0016335064850207454
Figueroa Way,0.0016335064850207454
Townsend Avenue,0.0016335064850207454
East 3rd Street,0.0016335064850207454
Hooper Avenue,0.0016335064850207454
Compton Avenue,0.0016335064850207454
De Neve Drive,0.0016335064850207454
North Los Angeles Street,0.0016335064850207454
West 21st Street,0.0016335064850207454
North Pasadena Freeway,0.0016335064850207454
Green Valley Circle,0.0016335064850207454
California Street,0.0016335064850207454
Eagle Street,0.0013068051880165963
North Madison Avenue,0.0013068051880165963
Park Row Drive,0.0013068051880165963
South Van Ness Avenue,0.0013068051880165963
Mulholland Drive,0.0013068051880165963
West 99th Street,0.0013068051880165963
Graham Avenue,0.0013068051880165963
Waring Avenue,0.0013068051880165963
West 76th Street,0.0013068051880165963
East 84th Place,0.0013068051880165963
Atwood Street,0.0013068051880165963
12th Avenue,0.0013068051880165963
Albany Street,0.0013068051880165963
Long Beach Avenue,0.0013068051880165963
Monroe Street,0.0013068051880165963
Washington Place,0.0013068051880165963
West 22nd Street,0.0013068051880165963
Eagle Rock Boulevard,0.0013068051880165963
East 105th Street,0.0013068051880165963
Tuller Avenue,0.0013068051880165963
Oakwood Avenue,0.0013068051880165963
Valencia Street,0.0013068051880165963
East 103rd Street,0.0013068051880165963
East 107th Street,0.0013068051880165963
Naomi Avenue,0.0013068051880165963
Avalon Boulevard,0.0013068051880165963
West 7th Street,0.0013068051880165963
Clarington Avenue,0.0013068051880165963
Alvern Circle,0.0013068051880165963
6th Avenue,0.0013068051880165963
Estara Avenue,0.0013068051880165963
Cordova Street,0.0013068051880165963
Montclair Street,0.0013068051880165963
World Way,0.0009801038910124474
West 120th Street,0.0009801038910124474
David Avenue,0.0009801038910124474
East 17th Street,0.0009801038910124474
Cimarron Street,0.0009801038910124474
Branden Street,0.0009801038910124474
Elder Street,0.0009801038910124474
West College Street,0.0009801038910124474
South Olive Street,0.0009801038910124474
East Edgeware Road,0.0009801038910124474
Newton Street,0.0009801038910124474
East 9th Street,0.0009801038910124474
North Evergreen Avenue,0.0009801038910124474
Verdugo Road,0.0009801038910124474
Calzona Street,0.0009801038910124474
West 83rd Street,0.0009801038910124474
Palms Boulevard,0.0009801038910124474
Merrick Street,0.0009801038910124474
East 79th Street,0.0009801038910124474
West 54th Street,0.0009801038910124474
Universal Studios Boulevard,0.0009801038910124474
