road_name,risk_score
South Avenue 50,0.004956350323852436
James M Wood Boulevard,0.004956350323852436
West 27th Street,0.004956350323852436
I 105 West,0.004731061672768234
West 18th Street,0.004731061672768234
Hillcrest Drive,0.004505773021684032
East Adams Boulevard,0.004505773021684032
South Beaudry Avenue,0.004505773021684032
East 103rd Street,0.004505773021684032
Buckingham Parkway,0.004393128696141932
Calzona Street,0.004336806533370882
West 62nd Place,0.004280484370599831
West 37th Street,0.004280484370599831
East Gage Avenue,0.004280484370599831
Scholl Canyon Road,0.00411151788228668
W.C. Fields Drive,0.0040551957195156295
Sepulveda Boulevard,0.0040551957195156295
South Los Angeles Street,0.0040551957195156295
West 87th Street,0.0040551957195156295
West 2nd Street,0.0040551957195156295
West 52nd Place,0.003998873556744579
West 58th Place,0.0038299070684314276
North San Fernando Road,0.0038299070684314276
West 54th Street,0.0038299070684314276
Brooklyn Place,0.0038299070684314276
East 17th Street,0.0038299070684314276
North Normandie Avenue,0.0038299070684314276
North Marianna Avenue,0.0038299070684314276
Toberman Street,0.0038299070684314276
West 117th Street,0.0038299070684314276
Newton Street,0.003604618417347226
Arcadia Street,0.003604618417347226
Mateo Street,0.003604618417347226
Naomi Avenue,0.003604618417347226
South Avenue 52,0.003604618417347226
West 79th Street,0.003604618417347226
Hyperion Avenue,0.0033793297662630243
Forest Lawn Drive,0.0033793297662630243
West 63rd Place,0.0033793297662630243
South La Tijera Boulevard,0.0033793297662630243
North Bronson Avenue,0.0033793297662630243
Westwood Boulevard,0.0033793297662630243
West 12th Street,0.0033793297662630243
West 30th Street,0.003154041115178823
Don Lorenzo Drive,0.003154041115178823
Hooper Avenue,0.003154041115178823
Barry Avenue,0.003154041115178823
London Street,0.003154041115178823
North Wilton Place,0.003154041115178823
Firth Boulevard,0.003154041115178823
West 77th Street,0.0029287524640946214
South Mariposa Avenue,0.0029287524640946214
Wall Street,0.0029287524640946214
Overland Avenue,0.0029287524640946214
South Marvin Avenue,0.0029287524640946214
San Fernando Road,0.0029287524640946214
North Vignes Street,0.0029287524640946214
West 60th Street,0.0029287524640946214
Colorado Boulevard,0.0029287524640946214
West 47th Street,0.0027034638130104195
South Bentley Avenue,0.0027034638130104195
West 36th Street,0.0027034638130104195
South Gramercy Place,0.0027034638130104195
Seward Street,0.0027034638130104195
Cadillac Avenue,0.0027034638130104195
West Amberwood Drive,0.0026809349479019993
West 111th Street,0.0026471416502393693
Waterloo Street,0.0025344973246972683
Sepulveda Tunnel,0.002478175161926218
Success Avenue,0.002478175161926218
South 1st Avenue,0.002478175161926218
North Los Angeles Street,0.002478175161926218
North Mission Road,0.002478175161926218
Eagle Street,0.002478175161926218
East 83rd Street,0.002478175161926218
Figueroa Way,0.002478175161926218
West 111th Place,0.002478175161926218
West 78th Street,0.002478175161926218
West 48th Street,0.002478175161926218
North Hill Street,0.002478175161926218
Wilmington Avenue,0.002309208673613067
West 11th Street,0.002252886510842016
Bellevue Avenue,0.002252886510842016
Circle Drive,0.002252886510842016
Grandee Avenue,0.002252886510842016
East 105th Street,0.002252886510842016
West 71st Street,0.002252886510842016
Avenue 20,0.002252886510842016
Avalon Boulevard,0.0020275978597578148
West 17th Street,0.0020275978597578148
Clyde Avenue,0.0020275978597578148
Ascot Avenue,0.0020275978597578148
West 99th Street,0.0020275978597578148
West 115th Street,0.0020275978597578148
Motor Avenue,0.0020275978597578148
Alcazar Street,0.0020275978597578148
